,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
84,84,84,84,85,1,2,"Ilett, Miss. Bertha",1,-0.9499856776813304,-0.4745451962498395,-0.4736736092984604,SO/C 14885,-0.4370074380797968,,S
87,87,87,87,88,0,3,"Slocovski, Mr. Selman Francis",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,SOTON/OQ 392086,-0.4863374216869257,,S
89,89,89,89,90,0,3,"Celotti, Mr. Francesco",0,-0.4120367744322922,-0.4745451962498395,-0.4736736092984604,343275,-0.4863374216869257,,S
90,90,90,90,91,0,3,"Christmann, Mr. Emil",0,-0.0277875578258363,-0.4745451962498395,-0.4736736092984604,343276,-0.4863374216869257,,S
91,91,91,91,92,0,3,"Andreasson, Mr. Paul Edvin",0,-0.719436147717457,-0.4745451962498395,-0.4736736092984604,347466,-0.4902797934380587,,S
92,92,92,92,93,0,1,"Chaffee, Mr. Herbert Fuller",0,1.2786597786361138,0.4327933656785018,-0.4736736092984604,W.E.P. 5734,0.5833178351003071,E31,S
95,95,95,95,96,0,3,"Shorney, Mr. Charles Joseph",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,374910,-0.4863374216869257,,S
99,99,99,99,100,0,2,"Kantor, Mr. Sinai",0,0.3564616587806195,0.4327933656785018,-0.4736736092984604,244367,-0.1249197866877571,,S
100,100,100,100,101,0,3,"Petranec, Miss. Matilda",1,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,349245,-0.4894421904510968,,S
101,101,101,101,102,0,3,"Petroff, Mr. Pastcho (""Pentcho"")",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,349215,-0.4894421904510968,,S
103,103,103,103,104,0,3,"Johansson, Mr. Gustaf Joel",0,0.2796118154593283,-0.4745451962498395,-0.4736736092984604,7540,-0.4741720436887921,,S
104,104,104,104,105,0,3,"Gustafsson, Mr. Anders Vilhelm",0,0.5870111887444931,1.340131927606843,-0.4736736092984604,3101276,-0.4888542575852486,,S
105,105,105,105,106,0,3,"Mionoff, Mr. Stoytcho",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,349207,-0.4894421904510968,,S
106,106,106,106,107,1,3,"Salkjelsvik, Miss. Anna Kristine",1,-0.6425863043961658,-0.4745451962498395,-0.4736736092984604,343120,-0.494391296561559,,S
107,107,107,107,108,1,3,"Moss, Mr. Albert Johan",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,312991,-0.4918744606632361,,S
108,108,108,108,109,0,3,"Rekic, Mr. Tido",0,0.6638610320657843,-0.4745451962498395,-0.4736736092984604,349249,-0.4894421904510968,,S
109,109,109,109,110,1,3,"Moran, Miss. Bertha",1,-0.1046374011471275,0.4327933656785018,-0.4736736092984604,371110,-0.1621689579829361,,Q
110,110,110,110,111,0,1,"Porter, Mr. Walter Chamberlain",0,1.3555096219574048,-0.4745451962498395,-0.4736736092984604,110465,0.3985820801634062,C110,S
111,111,111,111,112,0,3,"Zabour, Miss. Hileni",1,-1.1421102859845584,0.4327933656785018,-0.4736736092984604,2665,-0.3573908580066095,,C
112,112,112,112,113,0,3,"Barton, Mr. David John",0,-0.5657364610748746,-0.4745451962498395,-0.4736736092984604,324669,-0.4863374216869257,,S
113,113,113,113,114,0,3,"Jussila, Miss. Katriina",1,-0.719436147717457,0.4327933656785018,-0.4736736092984604,4136,-0.4505983519307405,,S
114,114,114,114,115,0,3,"Attalah, Miss. Malake",1,-0.9499856776813304,-0.4745451962498395,-0.4736736092984604,2627,-0.3573083057891445,,C
115,115,115,115,116,0,3,"Pekoniemi, Mr. Edvard",0,-0.6425863043961658,-0.4745451962498395,-0.4736736092984604,STON/O 2. 3101294,-0.4888542575852486,,S
117,117,117,117,118,0,2,"Turpin, Mr. William John Robert",0,-0.0277875578258363,0.4327933656785018,-0.4736736092984604,11668,-0.2255932226206731,,S
121,121,121,121,122,0,3,"Moore, Mr. Leonard Charles",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,A4. 54510,-0.4863374216869257,,S
122,122,122,122,123,0,2,"Nasser, Mr. Nicholas",0,0.2411868937986827,0.4327933656785018,-0.4736736092984604,237736,-0.0429555020886142,,C
123,123,123,123,124,1,2,"Webber, Miss. Susan",1,0.2411868937986827,-0.4745451962498395,-0.4736736092984604,27267,-0.3866707201133388,E101,S
125,125,125,125,126,1,3,"Nicola-Yarred, Master. Elias",0,-1.3342348942877864,0.4327933656785018,-0.4736736092984604,2651,-0.422073540593508,,C
126,126,126,126,127,0,3,"McMahon, Mr. Martin",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,370372,-0.4923778278429006,,Q
127,127,127,127,128,1,3,"Madsen, Mr. Fridtjof Arne",0,-0.4120367744322922,-0.4745451962498395,-0.4736736092984604,C 17369,-0.5046257580584992,,S
129,129,129,129,130,0,3,"Ekstrom, Mr. Johan",0,1.2018099353148226,-0.4745451962498395,-0.4736736092984604,347061,-0.5079822104125026,,S
130,130,130,130,131,0,3,"Drazenoic, Mr. Jozef",0,0.2796118154593283,-0.4745451962498395,-0.4736736092984604,349241,-0.4894421904510968,,C
131,131,131,131,132,0,3,"Coelho, Mr. Domingos Fernandeo",0,-0.719436147717457,-0.4745451962498395,-0.4736736092984604,SOTON/O.Q. 3101307,-0.5064721088735089,,S
132,132,132,132,133,0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",1,1.3555096219574048,0.4327933656785018,-0.4736736092984604,A/5. 3337,-0.356468689333464,,S
133,133,133,133,134,1,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",1,-0.0277875578258363,0.4327933656785018,-0.4736736092984604,228414,-0.1249197866877571,,S
134,134,134,134,135,0,2,"Sobey, Mr. Samuel James Hayden",0,-0.335186931111001,-0.4745451962498395,-0.4736736092984604,C.A. 29178,-0.3866707201133388,,S
135,135,135,135,136,0,2,"Richard, Mr. Emile",0,-0.4888866177535834,-0.4745451962498395,-0.4736736092984604,SC/PARIS 2133,-0.3454791770670269,,C
137,137,137,137,138,0,1,"Futrelle, Mr. Jacques Heath",0,0.5870111887444931,0.4327933656785018,-0.4736736092984604,113803,0.4207302360686478,C123,S
138,138,138,138,139,0,3,"Osen, Mr. Olaf Elon",0,-1.0268355210026217,-0.4745451962498395,-0.4736736092984604,7534,-0.4628462821463391,,S
141,141,141,141,142,1,3,"Nysten, Miss. Anna Sofia",1,-0.5657364610748746,-0.4745451962498395,-0.4736736092984604,347081,-0.4923778278429006,,S
142,142,142,142,143,1,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",1,-0.4120367744322922,0.4327933656785018,-0.4736736092984604,STON/O2. 3101279,-0.3292868616315766,,S
143,143,143,143,144,0,3,"Burke, Mr. Jeremiah",0,-0.7962859910387481,-0.4745451962498395,-0.4736736092984604,365222,-0.5125125150294839,,Q
144,144,144,144,145,0,2,"Andrew, Mr. Edgardo Samuel",0,-0.8731358343600393,-0.4745451962498395,-0.4736736092984604,231945,-0.4168727508932136,,S
146,146,146,146,147,1,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",0,-0.1814872444684187,-0.4745451962498395,-0.4736736092984604,350043,-0.4914556591697551,,S
149,149,149,149,150,0,2,"Byles, Rev. Thomas Roussel Davids",0,0.9712604053509488,-0.4745451962498395,-0.4736736092984604,244310,-0.3866707201133388,,S
150,150,150,150,151,0,2,"Bateman, Rev. Robert James",0,1.6629089952425695,-0.4745451962498395,-0.4736736092984604,S.O.P. 1166,-0.3962346965269658,,S
154,154,154,154,155,0,3,"Olsen, Mr. Ole Martin",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,Fa 265302,-0.5011867534870308,,S
156,156,156,156,157,1,3,"Gilnagh, Miss. Katherine ""Katie""",1,-1.0268355210026217,-0.4745451962498395,-0.4736736092984604,35851,-0.4927140771189165,,Q
157,157,157,157,158,0,3,"Corn, Mr. Harry",0,0.0490622854954548,-0.4745451962498395,-0.4736736092984604,SOTON/OQ 392090,-0.4863374216869257,,S
158,158,158,158,159,0,3,"Smiljanic, Mr. Mile",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,315037,-0.4740049257851434,,S
161,161,161,161,162,1,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",1,0.8175607187083667,-0.4745451962498395,-0.4736736092984604,C.A. 33595,-0.331300330350235,,S
162,162,162,162,163,0,3,"Bengtsson, Mr. John Viktor",0,-0.2583370877897099,-0.4745451962498395,-0.4736736092984604,347068,-0.4918744606632361,,S
163,163,163,163,164,0,3,"Calic, Mr. Jovo",0,-0.9499856776813304,-0.4745451962498395,-0.4736736092984604,315093,-0.4740049257851434,,S
168,168,168,168,169,0,1,"Baumann, Mr. John D",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,PC 17318,-0.1264298882267508,,S
169,169,169,169,170,0,3,"Ling, Mr. Lee",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,1601,0.489103606816847,,S
173,173,173,173,174,0,3,"Sivola, Mr. Antti Wilhelm",0,-0.6425863043961658,-0.4745451962498395,-0.4736736092984604,STON/O 2. 3101280,-0.4888542575852486,,S
177,177,177,177,178,0,1,"Isham, Miss. Ann Elizabeth",1,1.5860591519212783,-0.4745451962498395,-0.4736736092984604,PC 17595,-0.0703044476941502,C49,C
178,178,178,178,179,0,2,"Hale, Mr. Reginald",0,0.0490622854954548,-0.4745451962498395,-0.4736736092984604,250653,-0.3866707201133388,,S
179,179,179,179,180,0,3,"Leonard, Mr. Lionel",0,0.5101613454232019,-0.4745451962498395,-0.4736736092984604,LINE,-0.6484216535389205,,S
181,181,181,181,182,0,2,"Pernot, Mr. Rene",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,SC/PARIS 2131,-0.3453946113808432,,C
185,185,185,185,186,0,1,"Rood, Mr. Hugh Roscoe",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,113767,0.3583127057902398,A32,S
186,186,186,186,187,1,3,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",1,-0.1046374011471275,0.4327933656785018,-0.4736736092984604,370365,-0.3363340021468808,,Q
187,187,187,187,188,1,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",0,1.2018099353148226,-0.4745451962498395,-0.4736736092984604,111428,-0.1138457087351363,,S
189,189,189,189,190,0,3,"Turcin, Mr. Stjepan",0,0.5101613454232019,-0.4745451962498395,-0.4736736092984604,349247,-0.4894421904510968,,S
190,190,190,190,191,1,2,"Pinsky, Mrs. (Rosa)",1,0.2027619721380371,-0.4745451962498395,-0.4736736092984604,234604,-0.3866707201133388,,S
191,191,191,191,192,0,2,"Carbines, Mr. William",0,-0.7962859910387481,-0.4745451962498395,-0.4736736092984604,28424,-0.3866707201133388,,S
192,192,192,192,193,1,3,"Andersen-Jensen, Miss. Carla Christine Nielsine",1,-0.7962859910387481,0.4327933656785018,-0.4736736092984604,350046,-0.4902797934380587,,S
194,194,194,194,195,1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",1,1.1249600919935314,-0.4745451962498395,-0.4736736092984604,PC 17610,-0.0902720169770847,B4,C
196,196,196,196,197,0,3,"Mernagh, Mr. Robert",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,368703,-0.4923778278429006,,Q
198,198,198,198,199,1,3,"Madigan, Miss. Margaret ""Maggie""",1,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,370370,-0.4923778278429006,,Q
199,199,199,199,200,0,2,"Yrois, Miss. Henriette (""Mrs Harbeck"")",1,-0.4120367744322922,-0.4745451962498395,-0.4736736092984604,248747,-0.3866707201133388,,S
200,200,200,200,201,0,3,"Vande Walle, Mr. Nestor Cyriel",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,345770,-0.45714212526638,,S
202,202,202,202,203,0,3,"Johanson, Mr. Jakob Alfred",0,0.3564616587806195,-0.4745451962498395,-0.4736736092984604,3101264,-0.5176307525123133,,S
203,203,203,203,204,0,3,"Youseff, Mr. Gerious",0,1.2402348569754682,-0.4745451962498395,-0.4736736092984604,2628,-0.5029485386158568,,C
204,204,204,204,205,1,3,"Cohen, Mr. Gurshon ""Gus""",0,-0.8731358343600393,-0.4745451962498395,-0.4736736092984604,A/5 3540,-0.4863374216869257,,S
206,206,206,206,207,0,3,"Backstrom, Mr. Karl Alfred",0,0.2027619721380371,0.4327933656785018,-0.4736736092984604,3101278,-0.3292868616315766,,S
207,207,207,207,208,1,3,"Albimona, Mr. Nassef Cassem",0,-0.2583370877897099,-0.4745451962498395,-0.4736736092984604,2699,-0.2701412180209885,,C
208,208,208,208,209,1,3,"Carr, Miss. Helen ""Ellen""",1,-1.0268355210026217,-0.4745451962498395,-0.4736736092984604,367231,-0.4923778278429006,,Q
209,209,209,209,210,1,1,"Blank, Mr. Henry",0,0.8175607187083667,-0.4745451962498395,-0.4736736092984604,112277,-0.0242463507548411,A31,C
210,210,210,210,211,0,3,"Ali, Mr. Ahmed",0,-0.4120367744322922,-0.4745451962498395,-0.4736736092984604,SOTON/O.Q. 3101311,-0.5064721088735089,,S
211,211,211,211,212,1,2,"Cameron, Miss. Clear Annie",1,0.4333115021019107,-0.4745451962498395,-0.4736736092984604,F.C.C. 13528,-0.2255932226206731,,S
212,212,212,212,213,0,3,"Perkin, Mr. John Henry",0,-0.5657364610748746,-0.4745451962498395,-0.4736736092984604,A/5 21174,-0.5024451714361923,,S
213,213,213,213,214,0,2,"Givard, Mr. Hans Kristensen",0,0.0490622854954548,-0.4745451962498395,-0.4736736092984604,250646,-0.3866707201133388,,S
214,214,214,214,215,0,3,"Kiernan, Mr. Philip",0,-0.1046374011471275,0.4327933656785018,-0.4736736092984604,367229,-0.4923778278429006,,Q
216,216,216,216,217,1,3,"Honkanen, Miss. Eliina",1,-0.1814872444684187,-0.4745451962498395,-0.4736736092984604,STON/O2. 3101283,-0.4888542575852486,,S
217,217,217,217,218,0,2,"Jacobsohn, Mr. Sidney Samuel",0,0.9712604053509488,0.4327933656785018,-0.4736736092984604,243847,-0.1047850995011739,,S
219,219,219,219,220,0,2,"Harris, Mr. Walter",0,0.0490622854954548,-0.4745451962498395,-0.4736736092984604,W/C 14208,-0.4370074380797968,,S
220,220,220,220,221,1,3,"Sunderland, Mr. Victor Francis",0,-1.0268355210026217,-0.4745451962498395,-0.4736736092984604,SOTON/OQ 392089,-0.4863374216869257,,S
221,221,221,221,222,0,2,"Bracken, Mr. James H",0,-0.1814872444684187,-0.4745451962498395,-0.4736736092984604,220367,-0.3866707201133388,,S
222,222,222,222,223,0,3,"Green, Mr. George Henry",0,1.6629089952425695,-0.4745451962498395,-0.4736736092984604,21440,-0.4863374216869257,,S
223,223,223,223,224,0,3,"Nenkoff, Mr. Christo",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,349234,-0.4894421904510968,,S
225,225,225,225,226,0,3,"Berglund, Mr. Karl Ivar Sven",0,-0.5657364610748746,-0.4745451962498395,-0.4736736092984604,PP 4348,-0.4601623283443675,,S
226,226,226,226,227,1,2,"Mellors, Mr. William John",0,-0.7962859910387481,-0.4745451962498395,-0.4736736092984604,SW/PP 751,-0.4370074380797968,,S
227,227,227,227,228,0,3,"Lovell, Mr. John Hall (""Henry"")",0,-0.6810112260568114,-0.4745451962498395,-0.4736736092984604,A/5 21173,-0.5024451714361923,,S
228,228,228,228,229,0,2,"Fahlstrom, Mr. Arne Jonas",0,-0.8731358343600393,-0.4745451962498395,-0.4736736092984604,236171,-0.3866707201133388,,S
231,231,231,231,232,0,3,"Larsson, Mr. Bengt Edvin",0,-0.0277875578258363,-0.4745451962498395,-0.4736736092984604,347067,-0.4918744606632361,,S
234,234,234,234,235,0,2,"Leyson, Mr. Robert William Norman",0,-0.4120367744322922,-0.4745451962498395,-0.4736736092984604,C.A. 29566,-0.4370074380797968,,S
235,235,235,235,236,0,3,"Harknett, Miss. Alice Phoebe",1,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,W./C. 6609,-0.4964047652802172,,S
236,236,236,236,237,0,2,"Hold, Mr. Stephen",0,1.1249600919935314,0.4327933656785018,-0.4736736092984604,26707,-0.1249197866877571,,S
238,238,238,238,239,0,2,"Pengelly, Mr. Frederick William",0,-0.7962859910387481,-0.4745451962498395,-0.4736736092984604,28665,-0.4370074380797968,,S
239,239,239,239,240,0,2,"Hunt, Mr. George Henry",0,0.2796118154593283,-0.4745451962498395,-0.4736736092984604,SCO/W 1585,-0.4012683683236117,,S
240,240,240,240,241,0,3,"Zabour, Miss. Thamine",1,-0.1046374011471275,0.4327933656785018,-0.4736736092984604,2665,-0.3573908580066095,,C
241,241,241,241,242,1,3,"Murphy, Miss. Katherine ""Kate""",1,-0.1046374011471275,0.4327933656785018,-0.4736736092984604,367230,-0.3363340021468808,,Q
242,242,242,242,243,0,2,"Coleridge, Mr. Reginald Charles",0,-0.0277875578258363,-0.4745451962498395,-0.4736736092984604,W./C. 14263,-0.4370074380797968,,S
243,243,243,243,244,0,3,"Maenpaa, Mr. Matti Alexanteri",0,-0.5657364610748746,-0.4745451962498395,-0.4736736092984604,STON/O 2. 3101275,-0.5049620073345151,,S
244,244,244,244,245,0,3,"Attalah, Mr. Sleiman",0,0.0490622854954548,-0.4745451962498395,-0.4736736092984604,2694,-0.5029485386158568,,C
246,246,246,246,247,0,3,"Lindahl, Miss. Agda Thorilda Viktoria",1,-0.335186931111001,-0.4745451962498395,-0.4736736092984604,347071,-0.4918744606632361,,S
249,249,249,249,250,0,2,"Carter, Rev. Ernest Courtenay",0,1.893458525206443,0.4327933656785018,-0.4736736092984604,244252,-0.1249197866877571,,S
250,250,250,250,251,0,3,"Reed, Mr. James George",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,362316,-0.5024451714361923,,S
253,253,253,253,254,0,3,"Lobb, Mr. William Arthur",0,0.0490622854954548,0.4327933656785018,-0.4736736092984604,A/5. 3336,-0.3242531898349308,,S
260,260,260,260,261,0,3,"Smith, Mr. Thomas",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,384461,-0.4923778278429006,,Q
263,263,263,263,264,0,1,"Harrison, Mr. William",0,0.8175607187083667,-0.4745451962498395,-0.4736736092984604,112059,-0.6484216535389205,B94,S
264,264,264,264,265,0,3,"Henry, Miss. Delia",1,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,382649,-0.4923778278429006,,Q
